emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO004433;NORD;36513791;SK;5.5;kW;380;11.2;50;4P;1460;;;132S;;3;0.84;87.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004434;NORD;36513791;SK;5.5;kW;380;11.2;50;4P;1460;;;132S;;3;0.84;87.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004307;Siemens;1819574001-002;IMV1;3;kW;400;5.9;50;4P;1460;6206;6206;100L;;3;0.83;87.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004308;Siemens;1819574001-001;IMV1;3;kW;400;5.9;50;4P;1415;6206;6206;100L;;3;0.83;87.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004309;NORD;33510090;SK;0.75;kW;380;1.79;50;4P;1415;6204;6204;80L;;3;0.75;81.6;55;Class F;S1;Start;Not Available;;;;-;-;-;;Internal;Vertical
EMO004310;NORD;33510090;SK;0.75;kW;380;1.79;50;4P;1460;;;80L;;3;0.75;81.6;55;Class F;S1;Start;Not Available;;;;-;-;-;;Internal;Vertical
EMO004435;NORD;36813791;SK;7.5;kW;380;15.7;50;4P;1460;;;132M;;3;0.81;88.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004436;NORD;36513791;SK;5.5;kW;380;11.2;50;4P;1460;;;132S;;3;0.84;87.7;54;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004437;NORD;36513791;SK;5.5;kW;380;11.2;50;2P;2950;;;132S;;3;0.84;87.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004311;Siemens;1819574002-001;IMB5;5.5;kW;400;9.9;50;4P;1440;;;132S;;3;0.9;;55;Class F;;Delta;Not Available;;;;140;200;132;;Internal;Horizontal
EMO004312;NORD;36010087;SK;4;kW;380;8.29;50;4P;1440;6306;6306;112M;;3;0.83;86.6;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004313;NORD;36010087;SK;4;kW;380;8.29;50;4P;1465;6306;6306;112M;;3;0.83;86.6;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004314;Siemens;181568000T-002;IMB5;7.5;kW;400;14.7;50;4P;1465;6208;6208;132M;;3;0.83;88.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004315;Siemens;181568000T-001;IMB5;7.5;kW;400;14.7;50;2P;;6208;6208;132M;;3;0.83;88.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004326;Hitachi;;;2.4;KW;380;6;50;4P;;;;;;3;;;;;;;Not Available;;;;;;;;Internal;Vertical
EMO004328;Hitachi;;;0.14;KW;380;1.2;50;4P;1460;;;;;3;;;;;;;Not Available;;;;;;;;Internal;Vertical
EMO004380;Marathon;WX110009213-4001J;HJN1;11;kW;380;22.2;50;2P;2950;6309;6309;160M;;3;0.8;89;55;Class F;S1;Delta;Not Available;;;;210;240;150;;Internal;Horizontal
EMO004316;Marathon;WX11000213-3001J;HJN1;30;kW;380;55.1;50;2P;2950;6312;6312;200LC;;3;0.9;92;55;Class F;S1;Delta;Not Available;;;;310;310;200;;Internal;Horizontal
EMO004317;Marathon;WX11000213-3002J;HJN1;30;kW;380;55.1;50;4P;1460;6312;6312;200L;;3;0.9;92;55;Class F;S1;Delta;Not Available;;;;310;310;200;;Internal;Horizontal
EMO004429;NORD;36813791;SK;7.5;kW;380;15.7;50;4P;1460;;;132M;;3;0.81;88.7;55;Class F;S1;Delta;;;;;-;-;-;;Internal;Vertical
EMO004430;NORD;36514090;SK;5.5;kW;380;11.2;50;4P;1460;;;132S;;3;0.84;87.7;55;Class F;S1;Delta;;;;;-;-;-;;Internal;Vertical
EMO004431;NORD;36513791;SK;5.5;kW;380;11.2;50;4P;1450;;;132S;;3;0.84;87.7;55;Class F;S1;Delta;;;;;-;-;-;;Internal;Vertical
EMO004432;NORD;;SK;2.2;kW;380;4.78;50;4P;1445;;;100L;;3;;;55;Class F;S1;;;;;;-;-;-;;Internal;Vertical
EMO004327;WAM;Y1603093;MT112MO414527;4;kW;380;8.13;50;2P;2950;;;112;;3;0.82;;55;Class F;;Start;Not Available;;;;-;-;-;;Internal;Vertical
EMO004298;Siemens;1819574003-001;IMV15;5.5;kW;400;9.9;50;4P;1440;6208;6208;132S;;3;0.9;;55;Class F;;Delta;Not Available;;;;140;200;132;;Internal;Horizontal
EMO004299;NORD;36010087;SK;4;kW;380;8.29;50;;;6306;6306;112M;;3;0.83;86.6;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004300;NORD;33511170;SK;0.75;kW;380;1.97;50;4P;1445;;;Gear Box;;3;;;;;;;;;;;-;-;-;;Internal;Vertical
EMO004301;NORD;36012070;SK;4;kW;380;8.6;50;4P;1425;;;112M;;3;0.8;;55;Class F;S1;Start;Not Available;;;;-;-;-;;Internal;Vertical
EMO004302;NORD;201759311;SK;3;kW;380;6.61;50;4P;1440;;;100A;;3;0.77;85.5;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004303;NORD;36012081;SK;4;kW;380;8.29;50;4P;1440;;;112M;;3;0.83;86.6;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004304;NORD;36010087;SK;4;kW;380;8.29;50;2P;2940;6306;6306;112M;;3;0.83;86.6;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Vertical
EMO004305;Marathon;WX11000280-1002J;HJN1;15;kW;380;28.4;50;2P;2940;6309;6309;160M;;3;0.89;90.3;55;Class F;S1;Delta;Not Available;;;;210;255;160;;Internal;Horizontal
EMO004306;Marathon;WX11000280-1001J;HJN1;15;kW;380;28.4;50;6P;970 ;6309;6309;160M;;3;0.89;90.3;55;Class F;S1;Delta;Not Available;;;;210;225;160;;Internal;Horizontal
EMO004173;Marathon;72107101J;HJN1;7.5;kW;380;17;50;6P;975 ;6309;6309;160M;;3;0.77;87.2;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004176;Marathon;72107201J;HJN1;15;kW;380;31.4;50;6P;975 ;6311;6311;180L;;3;0.81;89.7;55;Class F;S1;Delta;Not Available;;;;210;260;180;;Internal;Horizontal
EMO004175;Marathon;72107203J;HJN1;15;kW;380;31.4;50;4P;1470;6311;6311;180L;;3;0.81;89.7;55;Class F;S1;Delta;Not Available;;;;280;280;180;;Internal;Horizontal
EMO004091;Marathon;72104411;HJN1;30;kW;380;57.4;50;4P;1470;6312;6312;200L;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004092;Marathon;;HJN1;30;kW;380;57.4;50;6P;985 ;6312;6312;200lC;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;200;;Internal;Horizontal
EMO004093;Marathon;72106001J;HJN1;132;kW;380;244;50;6P;990 ;6319;6319;315L;;3;0.87;;55;Class F;S1;Delta;Available;;;;300;320;315;;Internal;Horizontal
EMO004094;Marathon;72106201J;HJN1;160;kW;380;291;50;6P;1000;6322;6322;355M;;3;0.88;94.8;55;Class F;S1;Delta;Available;;;;500;500;355;;Internal;Horizontal
EMO004295;TMEIC;D167110ML;ICFTCHK11;1000;KW;655;1060;50;4P;1480;6232;6230;450-1250;;3;;;44;Class F;S1;;Available;;;;;;355;;Internal;Horizontal
EMO004139;Marathon;72105219J;HJN1;75;kW;380;139;50;4P;147 ;6317;6317;280S;;3;0.87;94;55;Class F;S1;Delta;Available;;;;;;2820;;Internal;Horizontal
EMO004140;Marathon;72104302J;HJN1;22;kW;380;42.4;50;4P;1485;6311;6311;180L;;3;0.86;91.6;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004142;Thosiba;E167400H14;IDFCHKWII;200;kW;3000;47.8;50;4P;1480;6324;6220;280L;;3;;;44;Class F;S1;;Available;;;;;;;;Internal;Horizontal
EMO005248;Marathon;;HJN1;37;kW;380;69.7;50;4P;1484;6313;6313;225S;;3;0.87;92.7;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004143;ABB;4,44011E+11;M3BP;200;kW;380;366;50;8P;740 ;6319;6319;315M;;3;0.87;;55;Class F;;Delta;Available;;1;1;460;460;315;;Internal;Horizontal
EMO003873;TMEIC;E167370HF;IDFCHKWII;200;kW;3000;53;50;4P;1470;NU328;6224;355H;;3;;;44;Class F;S1;;Available;;;;;;355;;Internal;Horizontal
EMO004000;Marathon;AK15192501J;HJN1;30;kW;380;57.4;50;4P;1470;NU312;6312;200L;;3;0.86;92.3;55;Class F;S1;Delta;Available;;;;;;;;Internal;Horizontal
EMO005016;ABB;3GAL132247-BDBSU01;M3AL;30;kW;380;61;50;2P;4100;6308;6206;132MD;;3;;92.3;55;Class F;S1;Delta;Not Available;;;;210;340;132;;Internal;Vertical
EMO004346;oy fromberg AB;4514010;HXUR;75;kW;380;142;50;4P;1473;6315;6313;250M;;3;0.87;;55;Class F;S1;Delta;Available;;;;;;250;;Internal;Horizontal
EMO004347;ABB;3172640;HXUR;75;kW;380;141;50;4P;1485;6315;6313;250M;;3;0.86;;55;Class F;S1;Delta;Available;;;;350;400;250;;Internal;Horizontal
EMO004348;Oy fromberg AB;4511079;HXUR;132;kW;380;245;50;4P;1485;6319;6316;315;;3;0.88;;55;Class F;S1;Delta;Available;;;;350;400;315S;;Internal;Horizontal
EMO004349;Oy fromberg AB;4516292;HXUR;132;kW;380;245;50;4P;1480;6319;6316;315;;3;0.88;;55;Class F;S1;Delta;Available;;;;405;500;315S;;Internal;Horizontal
EMO004350;TMEIC;E167330HF;IDFCHKWII;250;kW;3000;59;50;4P;1480;NU326;6220;315;;3;;;44;Class F;S1;;Available;;;;405;500;315H;;Internal;Horizontal
EMO004351;TMEIC;E167332HF;IDFCHKWII;250;kW;3000;59;50;4P;1485;NU326;6220;315;;3;;;44;Class F;S1;;Available;;;;700;500;315;;Internal;Horizontal
EMO004352;TMEIC;E167343HF;IDFCHKWII;315;kW;3000;75;50;4P;1485;NU328;6224;355H;;3;;;44;Class F;S1;;Available;;;;700;500;355;;Internal;Horizontal
EMO004353;TMEIC;E167342HF;IDFCHKWII;315;kW;3000;75;50;6P;990 ;NU328;6224;355H;;3;;;44;Class F;S1;;Available;;;;890;595;355;;Internal;Horizontal
EMO004354;Marathon;AK-15194801J;HJN1;160;kW;380;291;50;4P;1473;NU322;6322;355M;;3;0.88;94.8;55;Class F;S1;;Available;;;;;;355;;Internal;Horizontal
EMO004096;Marathon;72105003J;HJN1;55;kW;380;103;50;4P;1485;6314;6314;250M;;3;0.87;93.5;55;Class F;S1;;Available;;;;;;250;;Internal;Horizontal
EMO004097;Marathon;'72107081;HAA;355;kW;3000;85.2;50;6P;985 ;6324;6324;400;;3;0.86;;55;Class F;S1;Start;Available;;;;;;;;Internal;Horizontal
EMO004098;Marathon;72105807J;HJN1;110;kW;380;206;50;6P;990 ;6319;6319;315L;;3;0.86;;55;Class F;S1;Delta;Available;;;;;;;;Internal;Horizontal
EMO004099;Marathon;72106504j;HAA;200;kW;3000;51;50;6P;990 ;6324;6324;400;;3;0.82;91.9;55;Class F;S1;Start;Available;;;;;;400;;Internal;Horizontal
EMO004100;Marathon;72106503J;HAA;200;kW;3000;51;50;4P;1480;6324;6324;400;;3;0.82;;55;Class F;S1;Start;Available;;;;;;400;;Internal;Horizontal
EMO004101;Marathon;72104803j;HJN1;45;kW;380;84.4;50;4P;1455;6313;6313;225m;;3;0.87;93.1;55;Class F;S1;Delta;Not Available;;;;;;225;;Internal;Horizontal
EMO004273;SEW;;DRE;5.5;kW;380;11.1;50;4P;;;;132M4;;3;0.85;88.5;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Vertical
EMO004340;ABB;172;MBT;11;kW;380;23;50;6P;970 ;;;160;;3;;;;;;;Not Available;;;;-;-;;;Internal;Vertical
EMO004274;SEW;;DRE;1.5;kW;380;3.7;50;4P;1445;;;112M;;3;0.72;80.9;55;Class F;S1;Delta;Not Available;;;;-;-;;;Internal;Vertical
EMO000410;ABB;;MBT;15;KW;380;30;50;4P;1750;;;160L;;3;;;;class F;S;;Available;;;;-;-;160;;Internal;Horizontal
EMO004513;TMEIC;E167200HK;IDFCHK11;250;KW;420;405;50;4P;1750;6220;6220;280L;;3;;;44;Class F;s1;;Available;;;;Drive;;280;;Internal;Horizontal
EMO001288;TMEIC;;IDFCHK11;355;kw;420;575;59;4P;1750;6220;6220;315h;;3;;;44;Class F;S1;;Available;;;;Drive;;315;;Internal;Horizontal
EMO004515;TOSHIBA;60027256;IKK;11;KW;420;19.5;60;4P;1482;6310;6208;160M;;3;;;44;Class F;S1;;Not Available;;;;Drive;;160;;Internal;Horizontal
EMO004337;Siemens;N-H41479855010001;ILA4;355;KW;3000;84;50;4P;1482;6220 C3;6218 C3;;;3;0.85;;55;Class F;;;Available;;;;;;;;Internal;Horizontal
EMO004338;Siemens;N-H41479855010002;ILA4;355;KW;3000;84;50;4P;1492;6229 C3;6218 c3;;;3;9.85;;55;Class F;;;Available;;;;;;;;Internal;Horizontal
EMO004339;Siemens;N-H41479855010003;ILA4;355;KW;3000;84;50;2P;2915;6220 C3;6218 c3;;;3;0.85;;55;Class F;;;Available;;;;;;;;Internal;Horizontal
EMO003929;ABB;4,34729E+11;M3BP;11; ;380;20.5;50;2P;2975;6309;6309;160M;;3;0.89;;55;Class F;S1;Delta;Not Available;;;;;;160;;Internal;Horizontal
EMO003978;NORD;;SK;5.5;KW;380;6.2;50;4P;1465;;;112M;;3;;;55;Class F;s1;;Not Available;;;;;;112;;Internal;Horizontal
EMO004556;Marathon;;HJN1;15;kW;380;30;50;4P;1470;6309;6309;160L;;3;0.85;90.6;55;Class F;S1;Delta;Available;;;;;;160;;Internal;Horizontal
EMO003096;TECO;;AEEB;15;kW;380;28.5;50;2P;;6309;6307;160M;;3;;;55;Class B;S1;Delta;Not Available;;;;;;160;;Internal;Horizontal
EMO003948;TMEIC;D167140ML;ICD-CHKM11;480;KW;355/365;980/880;50;4P/12P;458/1935;6232;6230;450-1400;;3;;;44;Class B;S1;;Available;;;;;;450;;Internal;Horizontal
EMO004559;Toshiba;FCKLSW21E;IKH6;3.7;KW;380;7.9;58.7;4P;1460;6207;6206;112M;;3;;;44;Clas F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004521;TMEIC;;IDFCHK11;500;kw;420;800;58.7;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004522;TMEIC;;IDFCHK11;500;kw;420;800;50;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004495;TMEIC;E167150HF;IDFCHK11;75;kw;420;123;59;4P;1750;6218;6216;250na;;3;;;44;Class F;S1;;Available;;;;Drive;;250;;Internal;Horizontal
EMO004496;TMEIC;E167160HF;IDFCHK11;250;KW;420;405;58.8;4P;1750;6220;6220;280L;;3;;;44;Class F;S1;;Available;;;;Drive;;280;;Internal;Horizontal
EMO004497;TMEIC;E167110HF;IDFCHK11;300;KW;420;500;59;4P;1750;6220;6220;315H;;3;;;44;Class F;S1;;Available;;;;Drive;;315;;Internal;Horizontal
EMO004498;TMEIC;E167120HF;IDFCHK11;335;KW;420;535;59;4P;1750;6220;6220;315H;;3;;;44;Class F;S1;;Available;;;;Drive;;315;;Internal;Horizontal
EMO004499;TMEIC;E167130HF;IDFCHK11;400;KW;420;630;59;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004500;TMEIC;E167140HF;IDFCHK11;400;KW;420;630;59;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004501;TMEIC;E167150HF;IDFCHK11;400;KW;420;630;59;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004502;TOSHIBA;60027252;IKK;15;KW;420;26;60;4P;1750;6310;6208;160L;;3;;;44;Class F;S1;;Available;;;;Drive;;160;;Internal;Horizontal
EMO004508;TMEIC;E167190HM;IDFCHK11;75;KW;420;123;59;4P;1750;6218;6216;250MA;;3;;;44;Class F;S1;;Available;;;;Drive;;250;;Internal;Horizontal
EMO004509;TMEIC;E167160HF;IDFCHK11;335;KW;420;535;59;4P;1750;6220;6220;315H;;3;;;44;Class F;S1;;Available;;;;Drive;;315;;Internal;Horizontal
EMO004510;TMEIC;E167170HF;IDFCHK11;500;KW;420;800;58.7;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;3565;;Internal;Horizontal
EMO004511;TOSHIBA;60027250;TIKK;15;KW;420;26;60;4P;1750;6310;6208;160L;;3;;;44;Class F;S1;;Not Available;;;;Drive;;160;;Internal;Horizontal
EMO004503;TOSHIBA;60027253;IKK;11;KW;420;19.5;60;4P;1750;6310;6208;160M;;3;;;44;Class F;S1;;Available;;;;Drive;;160;;Internal;Horizontal
EMO004504;TOSHIBA;60027258;IKK;11;KW;420;19.5;60;4P;1750;6310;6208;160M;;3;;;44;Class F;S1;;Available;;;;Drive;;160;;Internal;Horizontal
EMO004505;TMEIC;E167170HM;IDFCHK11;250;KW;420;405;58.8;4P;1750;6220;6220;280L;;3;;;44;Class F;S1;;Available;;;;Drive;;280;;Internal;Horizontal
EMO004506;TMEIC;E167180HM;IDFCHK11;110;KW;420;178;59;4P;1750;6220;6220;280MD;;3;;;44;Class F;S1;;Available;;;;Drive;;280;;Internal;Horizontal
EMO004507;TOSHIBA;60027251;TIKK;15;KW;420;26;50;4P;1480;6310;6208;160L;;3;;;44;Class F;S1;;Available;;;;Drive;;160;;Internal;Horizontal
EMO004136;Marathon;72105405i;HJN1;90;kW;380;167;50;4P;1480;6317;6317;280M;;3;0.87;94.2;55;Class F;S1;Delta;Available;;;;425;460;280;;Internal;Horizontal
EMO004137;Marathon;72105403i;HJN1;90;kW;380;167;50;4P;1460;6317;6317;280M;;3;0.87;94.2;55;Class F;S1;Delta;Available;;;;425;460;280;;Internal;Horizontal
EMO004455;TECO;;AEEB;7.5;KW;380;15.2;50;4P;1460;6309;6306;132S;;3;;;55;Class F;S1;Delta;Not Available;;;;;;132;;Internal;Vertical
EMO004456;TECO;;AEEB;7.5;KW;380;15.2;50;4P;1460;6309;6306;132S;;3;;;55;Class F;S1;Delta;Not Available;;;;;;132;;Internal;Vertical
EMO004457;TECO;;AEEB;7.5;KW;380;15.2;50;4P;1470;6309;6306;132S;;3;;;55;Class F;S1;Delta;Not Available;;;;;;132;;Internal;Vertical
EMO004138;Marathon;72104401J;HJN1;30;kW;380;57.4;50;2P;2970;6312;6312;100L;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004115;Marathon;72105501J;HJN1;90;kW;380;160;50;2P;2880;6314;6314;280M;;3;0.91;;55;Class F;S1;Delta;Available;;;;;;;;Internal;Horizontal
EMO004116;Marathon;72106602J;HAA;200;kW;3000;54.2;50;2P;2880;6319;6319;355;;3;0.85;91.76;55;Class F;S1;Start;Available;;;;;;;;Internal;Horizontal
EMO004117;Marathon;72106605J;HAA;200;kW;3000;54.2;50;2P;2970;6319;6319;355;;3;0.85;91.76;55;Class F;S1;Start;Available;;;;;;;;Internal;Horizontal
EMO004118;Marathon;72105309J;HJN1;75;kW;380;135;50;4P;1470;6314;6314;280S;;3;0.9;;55;Class F;S1;Delta;Available;;;;;;;;Internal;Horizontal
EMO004119;Marathon;72104101J;HJN1;18.5;kW;380;35.8;50;4P;1470;6311;6311;180M;;3;0.86;;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004127;Marathon;72104304J;HJN1;22;kW;380;42.4;50;2P;2965;6311;6311;180M;;3;0.86;;55;Class F;S1;Delta;Not Available;;;;240;280;180;;Internal;Horizontal
EMO004120;Marathon;72104901J;HJN1;45;kW;380;81.8;50;2P;2965;6313;6313;225M;;3;0.9;;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004121;Marathon;72104413J;HJN1;30;kW;380;57.4;50;4P;1470;6312;6312;200L;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004122;Marathon;72104402J;HJN1;30;kW;380;57.4;50;4P;1465;6312;6312;200L;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004123;Marathon;72103902J;HJN1;11;kW;380;22.2;50;4P;1465;6309;6309;160M;;3;0.84;89.8;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004321;GRUNDFOS;CR5-26 AFGJA-E-HQQE;A96513391P31602;4;;380;7.92;50;2P;2900;;;HJN1;;3;;;;;;;;;;;215;250;160;;Internal;Horizontal
EMO004202;Marathon;72103801j;HJN1;7.5;kw;380;14.7;50;2P;2900;6308;6308;132s;;3;0.88;87;55;Class F;S1;Delta;Not Available;;;;140;210;132;;Internal;Horizontal
EMO004203;Marathon;72103601j;HJN1;5.5;kw;380;10.9;50;4P;1480;6308;6308;132s;;3;0.88;88.1;55;Class F;S1;Delta;Not Available;;;;140;210;132;;Internal;Horizontal
EMO004131;Marathon;72105401i;HJN1;90;kW;380;167;50;4P;1480;6317;6317;280M;;3;0.87;94.2;55;Class F;S1;Delta;Available;;;;425;460;280;;Internal;Horizontal
EMO004132;Marathon;72105402i;HJN1;90;kW;380;167;50;2P;2955;6317;6317;280M;;3;0.87;94.2;55;Class F;S1;Delta;Available;;;;425;460;280;;Internal;Horizontal
EMO004149;Marathon;;HJN1;45;KW;380;81.8;50;4P;1470;6313;6313;255L;;3;0.9;;55;Class F;S1;Delta;Not Available;;;;;;255;;Internal;Horizontal
EMO004133;Marathon;72104414J;HJN1;30;kW;380;57.4;50;4P;1430;6312;6312;200L;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;
EMO004204;ABB;;MT;2.2;kW;380;4;50;4P;1430;;;100L;;3;0.77;;55;Class F;;Start;Not Available;;;;;;100;;Internal;Horizontal
