id;material_number;equipment_description;status;sort_field;unique_id;qr_code_link
EMO003495;10011114;"MOTOR AC;90KW;167A;4P;380V;B";Installed;SP3.C29/P76/M;1801;https://www.safesave.info/MIC.php?id=Fajar-MotorList1801
EMO003124;;"AC MOTOR;380V,50Hz,75kW,4P,250M,B35";Installed;SP3.P71A/M;1802;https://www.safesave.info/MIC.php?id=Fajar-MotorList1802
EMO000226;10011099;"AC MOTOR;380V,50Hz,75kW,4P,280S,B35";Installed;SP3.P71/M;1803;https://www.safesave.info/MIC.php?id=Fajar-MotorList1803
EMO000426;10010668;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";Installed;SP3.P.70/M;1804;https://www.safesave.info/MIC.php?id=Fajar-MotorList1804
EMO000922;10011059;"AC MOTOR;380V,50HZ,37KW,4P,70.9A,B";Installed;SP3.C30/P43/M;1805;https://www.safesave.info/MIC.php?id=Fajar-MotorList1805
EMO000908;;"AC MOTOR;380V,50Hz,5.5kW,4P,132S,B3";Installed;SP3.C20/P41/M;1806;https://www.safesave.info/MIC.php?id=Fajar-MotorList1806
EMO000907;;"MOTOR AC;22KW;45,9A;6P;380V;B";Installed;SP3.C20/AGT20/M;1807;https://www.safesave.info/MIC.php?id=Fajar-MotorList1807
EMO000906;;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";Installed;SP3.C19/P77/M;1808;https://www.safesave.info/MIC.php?id=Fajar-MotorList1808
EMO000905;10010918;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Installed;SP3.C19/P45/M;1809;https://www.safesave.info/MIC.php?id=Fajar-MotorList1809
EMO000903;;"AC MOTOR;380V,50Hz,37kW,4P,200M,B3";Installed;SP3.C18/P78/M;1810;https://www.safesave.info/MIC.php?id=Fajar-MotorList1810
EMO000024;;"MOTOR;37KW";Installed;SP3.RJ03A/M;1811;https://www.safesave.info/MIC.php?id=Fajar-MotorList1811
EMO002712;10010619;"MOTOR;AC,55KW,108A,4P";Installed;SP3.RJ06/GB/M;1812;https://www.safesave.info/MIC.php?id=Fajar-MotorList1812
EMO002799;;"AC MOTOR;380V,50Hz,75kW,4P,280S,B35";Installed;SP3.P042/M;1813;https://www.safesave.info/MIC.php?id=Fajar-MotorList1813
EMO000998;;"MOTOR AC;1,5KW;3,75A;4P;380V;";Installed;SP3.RJ04/GB1/M;1814;https://www.safesave.info/MIC.php?id=Fajar-MotorList1814
EMO000999;;"MOTOR AC;1,5KW;3,75A;4P;380V;";Installed;SP3.RJ04/GB2/M;1815;https://www.safesave.info/MIC.php?id=Fajar-MotorList1815
EMO000620;10010987;"MOTOR AC;15KW;30,5A;4P;380V;B";Installed;SP3.RJ03/GB/M;1816;https://www.safesave.info/MIC.php?id=Fajar-MotorList1816
EMO000995;;"MOTOR AC;11KW;21,5A;4P;380V;B";Installed;SP3.SP.26/GB1/M;1817;https://www.safesave.info/MIC.php?id=Fajar-MotorList1817
EMO000061;10010918;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Installed;SP3.SP.25/GB1/M;1818;https://www.safesave.info/MIC.php?id=Fajar-MotorList1818
EMO000992;;"MOTOR AC;20HP;29A;4P;380V;B";Installed;SP3.SP.32/GB1/M;1819;https://www.safesave.info/MIC.php?id=Fajar-MotorList1819
EMO000993;;"MOTOR AC;0,37KW;1,2A;4P;380V;";Installed;SP3.SP.32/GB2/M;1820;https://www.safesave.info/MIC.php?id=Fajar-MotorList1820
EMO000991;;MOTOR;Installed;SP3.SP.31A/GB2/M;1821;https://www.safesave.info/MIC.php?id=Fajar-MotorList1821
EMO003928;10027266;"AC MOTOR;380V,50Hz,37kW,4P,225S,B3";Installed;SP3.SP.31A/GB1/M;1822;https://www.safesave.info/MIC.php?id=Fajar-MotorList1822
EMO003472;;ELECTRIC MOTOR(VACUUM PUMP THK );Installed;SP3.SP31B/M;1823;https://www.safesave.info/MIC.php?id=Fajar-MotorList1823
EMO003473;;ELECTRIC MOTOR( DROPLEG PUMP THK );Installed;SP3.SP31C;1824;https://www.safesave.info/MIC.php?id=Fajar-MotorList1824
EMO003835;10011100;"AC MOTOR;380V,50Hz,15kW,4P,160L,B5";Installed;SP3.SP.31/GB1/M;1825;https://www.safesave.info/MIC.php?id=Fajar-MotorList1825
EMO000953;;"MOTOR AC;45KW;93A;4P;380V;B";Installed;SP3.SP.31C/M;1826;https://www.safesave.info/MIC.php?id=Fajar-MotorList1826
EMO000952;;MOTOR;Installed;SP3-SP-31B/M;1827;https://www.safesave.info/MIC.php?id=Fajar-MotorList1827
EMO001641;;"AC MOTOR;380V,50Hz,37kW,4P,225S,B3";Installed;SP3-RJ05-C/M;1828;https://www.safesave.info/MIC.php?id=Fajar-MotorList1828
EMO000929;10010538;"AC MOTOR;380V,50HZ,110KW,2P,B";Installed;SP3.C33/P56/M;1829;https://www.safesave.info/MIC.php?id=Fajar-MotorList1829
EMO005229;10010538;"AC MOTOR;380V,50HZ,110KW,2P,280M,B3";Installed;SP3.C33/P86/M;1830;https://www.safesave.info/MIC.php?id=Fajar-MotorList1830
EMO000901;;"AC MOTOR;380V,50Hz,11kW,6P,160L,B3";Installed;SP3.C16/P24/M;1831;https://www.safesave.info/MIC.php?id=Fajar-MotorList1831
EMO000900;;"MOTOR AC;55KW;108A;6P;380V;B";Installed;SP3.C16/AGT16/M;1832;https://www.safesave.info/MIC.php?id=Fajar-MotorList1832
EMO000899;10020901;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Installed;SP3.C15/P22/M;1833;https://www.safesave.info/MIC.php?id=Fajar-MotorList1833
EMO000898;;"MOTOR AC;55KW;108A;6P;380V;B";Installed;SP3.C15/AGT15/M;1834;https://www.safesave.info/MIC.php?id=Fajar-MotorList1834
EMO000897;;"AC MOTOR;380V,50Hz,30kW,6P,200L,B3";Installed;SP3.C14/P23/M;1835;https://www.safesave.info/MIC.php?id=Fajar-MotorList1835
EMO000127;;"AC MOTOR;380V,50Hz,55kW,6P,280S,B35";Available;SP3.C14/AGT14/M;1836;https://www.safesave.info/MIC.php?id=Fajar-MotorList1836
EMO000893;10020901;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Installed;SP3.C12/P50/M;1837;https://www.safesave.info/MIC.php?id=Fajar-MotorList1837
EMO000892;;"AC MOTOR;380V,50Hz,90kW,4P,280M,B3";Installed;SP3.C12/P49A/M;1838;https://www.safesave.info/MIC.php?id=Fajar-MotorList1838
EMO000891;;"AC MOTOR;3000V,50Hz,351kW,4P,355AB,B3";Installed;SP3.C12/P49/M;1839;https://www.safesave.info/MIC.php?id=Fajar-MotorList1839
EMO000093;;"AC MOTOR;380V,50Hz,18.5kW,4P,180M,B3";Installed;SP3.C11/P21/M;1840;https://www.safesave.info/MIC.php?id=Fajar-MotorList1840
EMO000888;10020901;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Installed;SP3.C10/P20/M;1841;https://www.safesave.info/MIC.php?id=Fajar-MotorList1841
EMO003668;;"AC MOTOR;380V,50Hz,22kW,6P,200L,B3";Installed;SP3.C10/AGT10/M;1842;https://www.safesave.info/MIC.php?id=Fajar-MotorList1842
EMO002007;10020901;"AC MOTOR;380V,50hZ,45kW,4P,B";Installed;SP3.C9/P19/M;1843;https://www.safesave.info/MIC.php?id=Fajar-MotorList1843
EMO000457;10010560;"AC MOTOR;380V,50Hz,30kW,4P,200L,B3";Installed;SP3.C8/P18/M;1844;https://www.safesave.info/MIC.php?id=Fajar-MotorList1844
EMO000884;10010623;"AC MOTOR;380V,50Hz,75kW,4P,280S,B3";Installed;SP3.C8/P17/M;1845;https://www.safesave.info/MIC.php?id=Fajar-MotorList1845
EMO000882;;"AC MOTOR;3000V,50Hz,375kW,6P,460AB,B3";Installed;SP3.C8/P15/M;1846;https://www.safesave.info/MIC.php?id=Fajar-MotorList1846
EMO000880;;"AC MOTOR;380V,50Hz,30kW,4P,200L,B3";Installed;SP3.C7/P12/M;1847;https://www.safesave.info/MIC.php?id=Fajar-MotorList1847
EMO000881;;"MOTOR AC;7,5KW;17A;6P;380V;B";Installed;SP3.C7/AGT7/M;1848;https://www.safesave.info/MIC.php?id=Fajar-MotorList1848
EMO003404;10010571;MOTOR,30KW,60A,6P,380V,B;Installed;SP3.C6/P48/M;1849;https://www.safesave.info/MIC.php?id=Fajar-MotorList1849
EMO000878;;"MOTOR AC;55KW;108A;6P;380V;B";Installed;SP3.C6/AGT6/M;1850;https://www.safesave.info/MIC.php?id=Fajar-MotorList1850
EMO000877;10020524;"AC MOTOR;380V,50Hz,90kW,4P,280M,B3";Installed;SP3.C5/P10/M;1851;https://www.safesave.info/MIC.php?id=Fajar-MotorList1851
EMO000865;10010688;"MOTOR AC;37KW;74A;6P;380V;B";Installed;SP3.C5/AGT5/M;1852;https://www.safesave.info/MIC.php?id=Fajar-MotorList1852
EMO000875;;"AC MOTOR;380V,50Hz,132kW,4P,315M,B3";Installed;SP3.P-09/M;1853;https://www.safesave.info/MIC.php?id=Fajar-MotorList1853
EMO002906;;MOTOR,AC,AEEB250M,TECO,75KW,140A,4P,380V;Installed;SP3.C4/P13/M;1854;https://www.safesave.info/MIC.php?id=Fajar-MotorList1854
EMO000873;;"MOTOR AC;75KW;143A;6P;380V;B";Installed;SP3.C4/AGT4B/M;1855;https://www.safesave.info/MIC.php?id=Fajar-MotorList1855
EMO000872;;"MOTOR AC;75KW;143A;6P;380V;B";Installed;SP3.C4/AGT4A/M;1856;https://www.safesave.info/MIC.php?id=Fajar-MotorList1856
EMO000874;10010905;"AC MOTOR;380V,50HZ,55KW,4P,B";Installed;SP3.P-14/M;1857;https://www.safesave.info/MIC.php?id=Fajar-MotorList1857
EMO000870;;"MOTOR AC;55KW;108A;6P;380V;B";Installed;SP3.C3/AGT3B/M;1858;https://www.safesave.info/MIC.php?id=Fajar-MotorList1858
EMO000869;;"MOTOR AC;55KW;108A;6P;380V;B";Installed;SP3.C3/AGT3A/M;1859;https://www.safesave.info/MIC.php?id=Fajar-MotorList1859
EMO001941;10010653;"AC MOTOR;380V,50Hz,110kW,4P,280M,B3";Installed;SP3.C2/P8/M;1860;https://www.safesave.info/MIC.php?id=Fajar-MotorList1860
EMO003966;10010688;"AC MOTOR;380V,50Hz,37kW,6P,250M,B3";Installed;SP3.OCC.M;1861;https://www.safesave.info/MIC.php?id=Fajar-MotorList1861
EMO001629;10010653;"AC MOTOR;380V,50Hz,110kW,4P,280M,B3";Available;SP3.C1/P7/M;1862;https://www.safesave.info/MIC.php?id=Fajar-MotorList1862
EMO000204;10010688;"AC MOTOR;380V,50Hz,37kW,6P,250S,B3";Installed;SP3.C1/AGT1/M;1863;https://www.safesave.info/MIC.php?id=Fajar-MotorList1863
EMO003132;10011065;"AC MOTOR;380V,50HZ,5.5KW,4P,B";Installed;SP3.RJ01/M;1864;https://www.safesave.info/MIC.php?id=Fajar-MotorList1864
EMO002923;10020523;"AC MOTOR;380V,50HZ,55KW,4P,B";Installed;SP3.SP.30/M;1865;https://www.safesave.info/MIC.php?id=Fajar-MotorList1865
EMO000977;;"MOTOR AC;55KW;105A;4P;380V;B";Installed;SP3.SP.29/M;1866;https://www.safesave.info/MIC.php?id=Fajar-MotorList1866
EMO000975;10011050;"AC MOTOR;380V,50HZ,110KW,6P,B";Installed;SP3.SP.27/M;1867;https://www.safesave.info/MIC.php?id=Fajar-MotorList1867
EMO001011;10011050;"AC MOTOR;380V,50Hz,110kW,6P,315L,B3";Installed;SP3.SP.21/M;1868;https://www.safesave.info/MIC.php?id=Fajar-MotorList1868
EMO000972;;"MOTOR AC;55KW;102A;4P;380V;B";Installed;SP3.SP.22/M;1869;https://www.safesave.info/MIC.php?id=Fajar-MotorList1869
EMO000076;;"AC MOTOR;380V,50Hz,55kW,4P,250S,B3";Installed;SP3.SP.20/M;1870;https://www.safesave.info/MIC.php?id=Fajar-MotorList1870
EMO003528;;"AC MOTOR;3000V,50Hz,315kW,6P,450M,B3";Installed;SP3.SP.19/M;1871;https://www.safesave.info/MIC.php?id=Fajar-MotorList1871
EMO001003;;"MOTOR AC;750KW;200,7A;12P;3000V;B";Installed;SP3.SP.33/M;1872;https://www.safesave.info/MIC.php?id=Fajar-MotorList1872
EMO000844;10010890;"AC MOTOR;380V,50Hz,5.5kW,4P,132S,B3";Installed;SP3.SP.12/M;1873;https://www.safesave.info/MIC.php?id=Fajar-MotorList1873
EMO000863;;"MOTOR AC;0,55KW;1,9A;4P;380V;";Installed;SP3.SP.14/M;1874;https://www.safesave.info/MIC.php?id=Fajar-MotorList1874
EMO000857;;"AC MOTOR;380V,50Hz,55kW,4P,225S,B3";Installed;SP3.PUL2.P3/M;1875;https://www.safesave.info/MIC.php?id=Fajar-MotorList1875
EMO000861;10010669;"AC MOTOR;380V,50HZ,75KW,6P,143A,B";Installed;SP3.SP.10/M;1876;https://www.safesave.info/MIC.php?id=Fajar-MotorList1876
EMO000854;;"MOTOR AC;600KW;131,5A;4P;3000V;B";Installed;SP3.PUL2.GB/M;1877;https://www.safesave.info/MIC.php?id=Fajar-MotorList1877
EMO000846;;"MOTOR;3KW";Installed;SP3.SP.05A/M;1878;https://www.safesave.info/MIC.php?id=Fajar-MotorList1878
EMO000847;;"MOTOR;3.5KW";Installed;SP3.SP.05B/M;1879;https://www.safesave.info/MIC.php?id=Fajar-MotorList1879
EMO002734;10010870;"AC MOTOR;380V,50Hz,5.5kW,4P,132S,B3";Installed;SP3.SP.11/M;1880;https://www.safesave.info/MIC.php?id=Fajar-MotorList1880
EMO000851;;"MOTOR AC;0,55KW;1,9A;4P;380V;";Installed;SP3.SP.13/M;1881;https://www.safesave.info/MIC.php?id=Fajar-MotorList1881
EMO000848;;"MOTOR;3.7KW";Installed;SP3.SP.05C/M;1882;https://www.safesave.info/MIC.php?id=Fajar-MotorList1882
EMO001063;10010870;"AC MOTOR;380V,50Hz,5.5kW,4P,132S,B3";Installed;SP3.PUL1.P2/M;1883;https://www.safesave.info/MIC.php?id=Fajar-MotorList1883
EMO003396;10024192;"MOTOR;75KW;144A;4P;B";Installed;SP3.PUL1.P1/M;1884;https://www.safesave.info/MIC.php?id=Fajar-MotorList1884
EMO000979;10010870;"AC MOTOR;380V,50Hz,5.5kW,4P,132S,B3";Installed;SP3.PUL1.OIL.P/M;1885;https://www.safesave.info/MIC.php?id=Fajar-MotorList1885
EMO000852;10010669;"AC MOTOR;380V,50HZ,75KW,6P,143A,B";Installed;SP3.SP.09/M;1886;https://www.safesave.info/MIC.php?id=Fajar-MotorList1886
EMO003074;;"AC MOTOR;3000V,50Hz,600kW,4P,450B,B3";Installed;SP3.PUL1.GB/M;1887;https://www.safesave.info/MIC.php?id=Fajar-MotorList1887
EMO000987;;"MOTOR AC;250KW;59,2A;6P;3000V;B";Installed;SP3.SP.24/M;1888;https://www.safesave.info/MIC.php?id=Fajar-MotorList1888
EMO003325;;"AC MOTOR;3000V,50Hz,250kW,6P,355L,B3";Installed;SP3.SP.23/M;1889;https://www.safesave.info/MIC.php?id=Fajar-MotorList1889
EMO000856;;"MOTOR AC;11KW;28,5A;4P;380V;";Installed;SP3.CON2.GB/M;1890;https://www.safesave.info/MIC.php?id=Fajar-MotorList1890
EMO000842;;"MOTOR;11KW";Installed;SP3.CON1.GB/M;1891;https://www.safesave.info/MIC.php?id=Fajar-MotorList1891
EMO000585;10011051;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Available;SP3.P.05;1892;https://www.safesave.info/MIC.php?id=Fajar-MotorList1892
EMO001002;;"MOTOR AC;0,5HP;1,5A;4P;380V;V";Installed;SP3.BR05/GB2/M;1893;https://www.safesave.info/MIC.php?id=Fajar-MotorList1893
EMO002878;10011069;"AC MOTOR;380V,50Hz,7.5kW,4P";Installed;SP3.BR05/GB1/M;1894;https://www.safesave.info/MIC.php?id=Fajar-MotorList1894
EMO001939;10010563;MOTOR,225M/4,ASGEN,45KW,83A,4P;Installed;SP3.C28/P36/M;1895;https://www.safesave.info/MIC.php?id=Fajar-MotorList1895
EMO000919;;"AC MOTOR;380V,50Hz,22kW,4P,180M,B3";Installed;SP3.C28/P35/M;1896;https://www.safesave.info/MIC.php?id=Fajar-MotorList1896
EMO000918;10010694;"AC MOTOR;380V,50HZ,90KW,6P,B";Installed;SP3.C28/AGT14/M;1897;https://www.safesave.info/MIC.php?id=Fajar-MotorList1897
EMO000917;;"AC MOTOR;380V,50Hz,55kW,4P,250M,B3";Installed;SP3.C27/P38/M;1898;https://www.safesave.info/MIC.php?id=Fajar-MotorList1898
EMO000916;;"MOTOR AC;22KW;46,7A;6P;380V;B";Installed;SP3.C27/AGT27/M;1899;https://www.safesave.info/MIC.php?id=Fajar-MotorList1899
EMO000985;;"MOTOR AC;55KW;105A;4P;380V;B";Installed;SP3.BR04/M;1900;https://www.safesave.info/MIC.php?id=Fajar-MotorList1900
EMO001007;;"MOTOR AC;150KW;274A;4P;380V;B";Installed;PM3.BR03/M;1901;https://www.safesave.info/MIC.php?id=Fajar-MotorList1901
EMO001567;;"AC MOTOR;380V,50Hz,30kW,4P,200L,B3";Installed;SP3.C23/P28/M;1902;https://www.safesave.info/MIC.php?id=Fajar-MotorList1902
EMO003425;10011053;"MOTOR AC;132KW;242A;4P;380V;B";Installed;SP3.C22/P26/M;1903;https://www.safesave.info/MIC.php?id=Fajar-MotorList1903
EMO000911;;"MOTOR AC;55KW;108A;6P;380V;B";Installed;SP3.C22/AGT12/M;1904;https://www.safesave.info/MIC.php?id=Fajar-MotorList1904
EMO003328;;"MOTOR;15KW;4P;29A;380 V";Installed;SP7.P-2-26/M;1905;https://www.safesave.info/MIC.php?id=Fajar-MotorList1905
EMO001583;;"AC MOTOR;380V,50Hz,30kW,6P,225M,V5";Available;SP3.C21/P25/M;1906;https://www.safesave.info/MIC.php?id=Fajar-MotorList1906
EMO000909;;"MOTOR AC;75KW;143A;6P;380V;B";Installed;SP3.C21/AGT13/M;1907;https://www.safesave.info/MIC.php?id=Fajar-MotorList1907
EMO001680;10010683;"AC MOTOR;380V,50HZ,55kW,4P,250S,B3";Installed;PM3.P-72/M;1908;https://www.safesave.info/MIC.php?id=Fajar-MotorList1908
EMO000969;;MOTOR;Installed;PM3-SWECO/GB2/M;1909;https://www.safesave.info/MIC.php?id=Fajar-MotorList1909
EMO000968;;MOTOR;Installed;PM3-SWECO/GB1/M;1910;https://www.safesave.info/MIC.php?id=Fajar-MotorList1910
EMO003614;10010926;"AC MOTOR;380V,50Hz,55kW,4P,250M,B3";Installed;SP3.C37.P87/M;1911;https://www.safesave.info/MIC.php?id=Fajar-MotorList1911
EMO000939;;"AC MOTOR;380V,50Hz,55kW,2P,25M,B3";Installed;SP3.C37/P58/M;1912;https://www.safesave.info/MIC.php?id=Fajar-MotorList1912
EMO000938;;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";Installed;SP3.C37/P57/M;1913;https://www.safesave.info/MIC.php?id=Fajar-MotorList1913
EMO000488;;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";Installed;SP3.C36.P82/M;1914;https://www.safesave.info/MIC.php?id=Fajar-MotorList1914
EMO004926;10010549;"AC MOTOR;380V,50Hz,30kW,4P,200M,B3";Installed;SP3.C35.P81/M;1915;https://www.safesave.info/MIC.php?id=Fajar-MotorList1915
EMO003123;10010898;"AC MOTOR;380V,50Hz,90kW,2P,280M,B3";Installed;PM3.C34.P84A/M;1916;https://www.safesave.info/MIC.php?id=Fajar-MotorList1916
EMO000934;10020901;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Installed;SP3.C34/P80/M;1917;https://www.safesave.info/MIC.php?id=Fajar-MotorList1917
EMO003956;10010686;"AC MOTOR;380V,50Hz,110kW,2P,280M,B3";Installed;PM3.C34/P84/M;1918;https://www.safesave.info/MIC.php?id=Fajar-MotorList1918
EMO000932;;"AC MOTOR;380V,50Hz,75kW,2P,250S,B3";Installed;SP3.C34/P55/M;1919;https://www.safesave.info/MIC.php?id=Fajar-MotorList1919
